x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
Iya,Depok,Rumah,4,Sejuk,> 2200 VA,Ya,10-15,2,1,2,1,1,Tidak ada,1,1,1,3,1,2,3,Tidak ada,3,1,4.0,7.0,3.0,2.0,10.0,9.0,6.0,8.0,5.0,1.0,4 - 8 jam,8 - 12 jam,> 8 jam,> 12 jam,4 - 8 jam,8 - 12 jam,> 4 Kali,4 kali,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,9-12 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),2.0,matiin lebih banyak alat elektronik saat tidak digunakan (terutama saat pagi/siang dimana jarang orang dirumah) 
Iya,Tokyo,Kos,1,Panas,2200 VA,Ya,1-5,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,1,1,Tidak ada,Tidak ada,1,3.0,7.0,4.0,5.0,6.0,8.0,2.0,9.0,10.0,1.0,Tidak punya TV,Tidak punya TV,4 - 8 jam,8 - 12 jam,4 - 8 jam,4 - 8 jam,1 kali,Tidak punya setrika,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,<2 Jam,TIdak,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),"Juli, Agustus, September",Malam (19:00 - 04:59),3.0,"Mematikan AC jika tidak perlu / kedinginan, Mematikan lampu saat keluar, mematikan stopkontak saat keluar rumah"
Iya,Jakarta,Rumah,3,Sejuk,2200 VA,Ya,6-10,1,1,Tidak ada,Tidak ada,Tidak ada,1,1,1,Tidak ada,1,2,1,2,Tidak ada,3,1,3.0,4.0,6.0,8.0,2.0,9.0,7.0,10.0,5.0,1.0,4 - 8 jam,2 - 4 jam,> 8 jam,8 - 12 jam,> 12 jam,> 12 jam,3 kali,3 kali,Tidak,Ya,nan,Ya,nan,nan,Ya,> 12 Jam,> 12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),1.0,doa
Iya,Jakarta,Rumah,1,Sejuk,> 2200 VA,Ya,lebih dari 20,1,1,1,1,1,Tidak ada,1,1,Tidak ada,3,1,2,4,Tidak ada,2,1,3.0,4.0,5.0,6.0,7.0,9.0,2.0,10.0,8.0,1.0,4 - 8 jam,2 - 4 jam,> 8 jam,4 - 8 jam,8 - 12 jam,4 - 8 jam,> 4 Kali,> 4 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,9-12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Mematikan listrik untuk barang yang tidak dipakai.
Iya,Depok,Rumah,2,Panas,2200 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,1,1,1,1,Tidak ada,1,1,2.0,7.0,3.0,8.0,10.0,5.0,6.0,4.0,9.0,1.0,2 - 4 jam,2 - 4 jam,> 8 jam,8 - 12 jam,8 - 12 jam,4 - 8 jam,3 kali,2 kali,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,9-12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Mematikan/ mencabut saat tidak dipakai
Iya,Banda Aceh,Rumah,4,Panas,2200 VA,Tidak,lebih dari 20,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,1,Tidak ada,1,3,Tidak ada,1,1,7.0,8.0,5.0,3.0,10.0,9.0,2.0,4.0,6.0,1.0,4 - 8 jam,4 - 8 jam,> 8 jam,8 - 12 jam,< 2 jam,2 - 4 jam,4 kali,4 kali,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,9-12 Jam,9-12 Jam,9-12 Jam,9-12 Jam,9-12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Juni,Siang (11:00 - 15:59),4.0,Tidak menggunakan alat listrik jika tidak  dieprlukan sekali
Iya,Banda Aceh,Rumah,4,Sejuk,1300 VA,Tidak,6-10,1,1,1,Tidak ada,1,Tidak ada,Tidak ada,1,1,1,Tidak ada,1,Tidak ada,Tidak ada,1,1,4.0,10.0,5.0,8.0,9.0,7.0,6.0,2.0,3.0,1.0,< 2 jam,2 - 4 jam,4 - 8 jam,8 - 12 jam,Tidak punya komputer,Tidak punya komputer,3 kali,2 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,> 12 Jam,<2 Jam,3-8 Jam,9-12 Jam,<2 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,"Dengan tidak sering menggunakan AC, mencabut charger setelah selesai dll"
Iya,Bekasi,Rumah,3,Panas,> 2200 VA,Ya,lebih dari 20,1,1,1,1,1,Tidak ada,1,1,1,1,Tidak ada,1,1,Tidak ada,1,1,8.0,7.0,9.0,4.0,10.0,5.0,6.0,2.0,3.0,1.0,4 - 8 jam,8 - 12 jam,4 - 8 jam,2 - 4 jam,2 - 4 jam,2 - 4 jam,3 kali,> 4 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,<2 Jam,3-8 Jam,3-8 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,> Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Menggunakan listrik sesuai kebutuhan.
Iya,Bogor,Rumah,4,Sejuk,2200 VA,Tidak,1-5,1,Tidak ada,1,Tidak ada,1,Tidak ada,1,1,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,1,Tidak ada,7.0,9.0,5.0,4.0,1.0,2.0,6.0,8.0,3.0,10.0,< 2 jam,2 - 4 jam,4 - 8 jam,8 - 12 jam,2 - 4 jam,< 2 jam,Tidak punya mesin cuci,1 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,<2 Jam,<2 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,TIdak,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Gunakan AC/listrik hanya saat dibutuhkan
Iya,Ciamis,Rumah,4,Sejuk,1300 VA,Tidak,6-10,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,1,1,3.0,9.0,8.0,7.0,6.0,5.0,4.0,2.0,10.0,1.0,< 2 jam,< 2 jam,< 2 jam,< 2 jam,Tidak punya komputer,Tidak punya komputer,3 kali,1 kali,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,3-8 Jam,3-8 Jam,3-8 Jam,<2 Jam,3-8 Jam,<2 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Juli,Siang (11:00 - 15:59),4.0,Kurangi penggunaan lampu
Iya,Aceh Besar,Rumah,4,Sejuk,1300 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,1,1,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,< 2 jam,< 2 jam,> 8 jam,8 - 12 jam,2 - 4 jam,< 2 jam,> 4 Kali,3 kali,Tidak,Ya,nan,nan,nan,nan,nan,3-8 Jam,3-8 Jam,<2 Jam,9-12 Jam,9-12 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Sore (16:00 - 18:59),4.0,Dengan selalu mematikan lampu
Iya,Pekanbaru,Rumah,3,Panas,2200 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,3,2,Tidak ada,1,1,2.0,3.0,7.0,5.0,10.0,6.0,8.0,4.0,9.0,1.0,2 - 4 jam,4 - 8 jam,> 8 jam,8 - 12 jam,< 2 jam,< 2 jam,2 kali,2 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,3-8 Jam,3-8 Jam,<2 Jam,<2 Jam,<2 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,bila tidak perlu segera dimatikan lampu dan alat elektronik
Iya,Tangerang Selatan,Rumah,5,Sejuk,> 2200 VA,Ya,lebih dari 20,1,1,1,1,Tidak ada,Tidak ada,3,1,Tidak ada,2,Tidak ada,1,5,1,1,1,5.0,6.0,9.0,8.0,10.0,7.0,3.0,1.0,2.0,4.0,4 - 8 jam,> 12 jam,> 8 jam,> 12 jam,< 2 jam,< 2 jam,> 4 Kali,> 4 kali,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,9-12 Jam,> 12 Jam,<2 Jam,9-12 Jam,3-8 Jam,> 12 Jam,TIdak,>4 Jam,Rp. 1.500.001 - Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),3.0,Mematikan lampu yg tidak digunakan
Iya,Aceh Besar,Rumah,4,Sejuk,450 VA,Tidak,6-10,1,1,1,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,1,1,1,Tidak ada,Tidak ada,1,1,6.0,7.0,4.0,5.0,10.0,9.0,8.0,2.0,3.0,1.0,2 - 4 jam,4 - 8 jam,4 - 8 jam,8 - 12 jam,4 - 8 jam,4 - 8 jam,3 kali,3 kali,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,<2 Jam,<2 Jam,<2 Jam,<2 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),2.0,Mematikan perangkat elektronik ketika tidak digunakan
Iya,Blangpidie,Kontrakan,3,Panas,1300 VA,Tidak,10-15,1,Tidak ada,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,Tidak ada,1,Tidak ada,6.0,4.0,7.0,8.0,10.0,9.0,3.0,2.0,5.0,1.0,< 2 jam,2 - 4 jam,> 8 jam,8 - 12 jam,Tidak punya komputer,Tidak punya komputer,Tidak punya mesin cuci,3 kali,Tidak,Ya,Ya,nan,nan,nan,nan,9-12 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mematikan lampu dan mencabut colokan listrik jika tidak digunakan
Iya,Pidie Jaya,Rumah,1,Panas,1300 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,1,Tidak ada,4.0,5.0,3.0,8.0,9.0,7.0,2.0,6.0,10.0,1.0,Tidak punya TV,Tidak punya TV,> 8 jam,> 12 jam,8 - 12 jam,> 12 jam,Tidak punya mesin cuci,1 kali,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,9-12 Jam,<2 Jam,<2 Jam,<2 Jam,3-8 Jam,<2 Jam,TIdak,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),2.0,"Tidak selalu menyalakan AC, mengganti lampu dengan hemat energi, mematikan lampu yang tidak dibutuhkan seperti lampu kamar mandi/dapur/ruang tamu"
Iya,Sabang,Rumah,3,Sejuk,1300 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,1,Tidak ada,1,1,4.0,3.0,6.0,7.0,10.0,8.0,5.0,2.0,9.0,1.0,< 2 jam,2 - 4 jam,4 - 8 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,3 kali,3 kali,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mematikan alat listrik jika tidak di gunakan. Gunakan lampu seperlunya. 
Iya,Banda Aceh,Rumah,3,Panas,450 VA,Tidak,6-10,1,1,1,1,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,1,Tidak ada,1,1,Tidak ada,2,Tidak ada,2.0,1.0,3.0,4.0,9.0,5.0,6.0,7.0,10.0,8.0,2 - 4 jam,4 - 8 jam,4 - 8 jam,4 - 8 jam,2 - 4 jam,2 - 4 jam,Tidak punya mesin cuci,1 kali,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,3-8 Jam,<2 Jam,<2 Jam,9-12 Jam,<2 Jam,> 12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Mei,Malam (19:00 - 04:59),4.0,Jaga penggunaan yg tidak perlu
Iya,Jakarta,Rumah,4,Sejuk,1300 VA,Tidak,10-15,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,1,Tidak ada,3,Tidak ada,6.0,1.0,2.0,9.0,10.0,8.0,3.0,4.0,7.0,5.0,Tidak punya TV,Tidak punya TV,> 8 jam,> 12 jam,Tidak punya komputer,Tidak punya komputer,Tidak punya mesin cuci,3 kali,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,> 12 Jam,3-8 Jam,<2 Jam,<2 Jam,<2 Jam,9-12 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 500.000 - Rp. 1.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),2.0,-
Iya,Banda Aceh,Rumah,3,Panas,900 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,Tidak ada,1,Tidak ada,1,2,Tidak ada,2,Tidak ada,4.0,2.0,6.0,7.0,10.0,8.0,3.0,5.0,9.0,1.0,2 - 4 jam,2 - 4 jam,> 8 jam,8 - 12 jam,< 2 jam,< 2 jam,Tidak punya mesin cuci,1 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,3-8 Jam,9-12 Jam,<2 Jam,3-8 Jam,3-8 Jam,9-12 Jam,Ya,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Naik Turun ( Tiap Bulan Naik 100.000 atau Turun 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,menghemat penggunaan
Iya,Banda Aceh,Rumah,> 5,Sejuk,1300 VA,Tidak,16-20,1,1,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,2,Tidak ada,2,2,Tidak ada,2,1,6.0,5.0,4.0,7.0,10.0,8.0,9.0,3.0,2.0,1.0,< 2 jam,2 - 4 jam,4 - 8 jam,4 - 8 jam,4 - 8 jam,< 2 jam,> 4 Kali,3 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,Ya,Tidak mempunyai kendaraan listrik,Rp. 1.500.001 - Rp 2.000.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Setel waktu ac
Iya,Banda Aceh,Rumah,> 5,Panas,1300 VA,Tidak,lebih dari 20,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,Tidak ada,1,Tidak ada,1,Tidak ada,1,2,Tidak ada,2,1,4.0,7.0,5.0,8.0,9.0,6.0,10.0,2.0,3.0,1.0,< 2 jam,< 2 jam,4 - 8 jam,4 - 8 jam,Tidak punya komputer,Tidak punya komputer,> 4 Kali,3 kali,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,3-8 Jam,3-8 Jam,<2 Jam,3-8 Jam,3-8 Jam,3-8 Jam,TIdak,Tidak mempunyai kendaraan listrik,Rp. 1.000.001 - Rp 1.500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Malam (19:00 - 04:59),4.0,Mematikan lampu dan alat elektronik saat tidak digunakan
Iya,Bandung,Rumah,3,Sejuk,1300 VA,Tidak,6-10,1,Tidak ada,1,Tidak ada,Tidak ada,Tidak ada,2,Tidak ada,1,Tidak ada,Tidak ada,1,1,Tidak ada,3,1,9.0,8.0,1.0,5.0,7.0,10.0,6.0,4.0,3.0,2.0,Tidak punya TV,Tidak punya TV,4 - 8 jam,8 - 12 jam,> 12 jam,> 12 jam,3 kali,4 kali,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,3-8 Jam,> 12 Jam,3-8 Jam,3-8 Jam,3-8 Jam,3-8 Jam,TIdak,Tidak mempunyai kendaraan listrik,< Rp. 500.000,Stabil ( Tiap Bulan Beda 100.000),Tidak Ada perbedaan signifikan,Siang (11:00 - 15:59),3.0,Dipakai saat butuh
