x35_mapped,x36_mapped,x37_mapped,x38_mapped,x39_mapped,x40_mapped,x50_mapped,x51_mapped,x52_mapped,x53_mapped,x54_mapped,x55_mapped,x57_mapped,x41_mapped,x42_mapped,x1_mapped,x5_mapped,x7_mapped,x43_mapped,x44_mapped,x45_mapped,x46_mapped,x47_mapped,x48_mapped,x49_mapped,x56_mapped,x6_mapped,x8_mapped,x9_mapped,x10_mapped,x11_mapped,x12_mapped,x13_mapped,x14_mapped,x15_mapped,x16_mapped,x17_mapped,x18_mapped,x19_mapped,x20_mapped,x21_mapped,x22_mapped,x23_mapped,x24_mapped,x4_mapped,x3_mapped,x58_mapped,Unnamed: 0,label_kenaikan
4,8,12,12,2,2,8,8,2,2,2,12,0.0,2,2,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,1,2200,8,1,0,1,0,0,0,0,0,0,1,0,3,2,0,1,1,3,1.0,,21,0
8,14,12,14,2,2,12,14,2,12,8,14,4.0,5,5,1,0,1,0,1,0.0,0.0,1.0,1.0,1.0,0,3500,22,1,1,1,1,0,0,3,1,0,2,0,1,5,1,1,1,5,1.0,,22,0
4,8,8,12,8,8,2,2,2,2,8,12,0.0,3,3,1,0,0,0,1,0.0,1.0,0.0,0.0,0.0,1,450,8,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,4,1.0,,23,0
2,4,12,12,0,0,12,2,8,8,8,12,0.0,0,3,1,1,0,0,1,1.0,0.0,0.0,0.0,1.0,1,1300,13,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,3,4.0,,24,0
0,0,12,14,12,14,12,2,2,2,8,2,0.0,0,1,1,1,0,1,0,0.0,0.0,0.0,1.0,1.0,0,1300,8,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1.0,,25,0
2,4,8,8,0,0,8,8,8,8,8,12,0.0,3,3,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1,1300,8,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,3,1.0,,26,0
4,8,8,8,4,4,8,2,2,12,2,14,0.0,0,1,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,1,450,8,1,1,1,1,0,0,1,0,0,1,0,1,1,0,2,0,3,1.0,,27,1
0,0,12,14,0,0,14,8,2,2,2,12,0.0,0,3,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0,1300,13,1,1,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,1.0,,28,0
4,4,12,12,2,2,8,12,2,8,8,12,0.0,0,1,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,1,900,8,1,0,1,0,0,0,1,0,0,1,0,1,2,0,2,0,3,1.0,,29,0
2,4,8,8,8,2,8,8,8,8,8,8,0.0,5,3,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1300,18,1,1,1,0,0,0,0,1,0,2,0,2,2,0,2,1,6,1.0,,30,0
2,2,8,8,0,0,8,8,2,8,8,8,0.0,5,3,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,1300,22,1,0,1,0,0,0,0,1,0,1,0,1,2,0,2,1,6,1.0,,31,0
0,0,8,12,14,14,8,14,8,8,8,8,0.0,3,4,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,0,1300,8,1,0,1,0,0,0,2,0,1,0,0,1,1,0,3,1,3,1.0,,32,0
0,0,8,8,0,0,12,2,2,2,2,2,0.0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,900,3,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,3.0,,33,0
12,12,12,14,8,8,14,14,14,14,14,14,0.0,5,5,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1,3500,22,2,1,2,1,1,0,2,1,0,2,1,3,3,0,3,2,6,1.0,,34,1
2,4,4,8,2,4,8,2,2,2,2,8,0.0,1,1,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,1,1300,8,1,0,1,1,0,0,0,0,0,1,0,1,4,0,1,1,3,1.0,,35,1
0,0,12,12,12,2,8,2,8,8,2,8,0.0,4,2,1,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1,1300,8,1,0,1,0,0,0,2,0,0,0,0,1,1,0,1,1,3,1.0,,36,0
8,12,12,12,8,8,12,2,8,12,8,12,0.0,4,4,1,0,0,0,0,0.0,1.0,0.0,1.0,0.0,1,2200,22,1,0,1,0,0,0,3,1,0,3,3,1,3,0,1,1,5,1.0,,37,0
4,4,2,8,0,0,8,12,8,8,8,12,0.0,2,3,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1300,13,1,0,1,1,0,0,0,0,0,2,0,2,1,0,2,1,2,1.0,,38,0
8,12,8,14,4,4,8,2,2,14,14,12,0.0,3,4,1,1,0,1,1,0.0,0.0,0.0,1.0,0.0,1,3500,18,3,1,1,1,0,0,1,1,0,2,1,1,4,0,3,1,6,1.0,,39,0
8,8,8,8,12,8,8,2,8,8,8,12,0.0,0,2,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1,2200,8,1,0,1,0,0,0,0,0,0,1,0,1,2,0,1,0,3,1.0,,40,1
8,12,12,12,0,0,8,8,12,8,12,12,0.0,5,5,1,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0,3500,22,1,2,0,1,0,0,1,2,0,1,0,1,1,0,1,1,6,1.0,,41,0
8,8,12,12,0,0,8,2,2,8,8,8,0.0,0,2,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1,900,8,1,0,1,0,0,0,0,1,0,1,0,1,1,0,2,0,3,1.0,,42,0
2,2,8,12,0,0,8,8,2,2,8,12,0.0,2,1,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1,2200,8,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,1,5,1.0,,43,0
2,4,12,14,12,4,12,8,2,12,8,12,0.0,2,2,1,1,0,0,1,0.0,1.0,0.0,1.0,1.0,1,2200,8,2,0,1,0,0,0,2,1,0,1,2,0,1,0,2,1,2,1.0,,44,0
2,2,8,12,2,2,14,8,8,8,12,12,0.0,3,3,1,0,1,1,1,0.0,0.0,1.0,1.0,0.0,1,2200,8,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,4,1.0,,45,0
8,12,8,8,4,4,8,12,8,8,8,8,0.0,4,4,1,1,1,0,1,0.0,0.0,0.0,1.0,1.0,1,2200,18,1,1,1,1,1,1,1,2,1,2,0,1,2,0,2,1,4,1.0,,46,0
2,2,8,8,0,0,8,2,2,2,2,8,0.0,0,1,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,1,2200,8,1,0,1,0,0,0,0,0,0,1,0,2,3,0,3,0,4,1.0,,47,0
8,12,8,14,8,2,14,14,12,8,14,12,0.0,5,5,1,1,0,1,1,1.0,0.0,1.0,0.0,1.0,0,2200,13,1,0,1,0,1,0,3,1,0,1,0,2,3,0,5,2,6,1.0,,48,0
2,2,8,8,2,2,8,2,8,8,12,12,0.0,4,4,1,0,0,1,1,0.0,0.0,1.0,1.0,0.0,1,2200,8,1,0,1,0,0,0,0,1,0,0,0,3,1,0,4,1,1,1.0,,49,0
4,4,8,8,8,4,8,8,2,8,8,8,0.0,1,1,1,0,0,1,1,0.0,1.0,1.0,1.0,1.0,1,2200,18,1,1,1,0,0,0,1,1,0,1,1,1,2,0,2,1,4,1.0,,50,1
8,14,8,14,12,12,8,12,2,8,8,12,0.0,4,5,1,0,1,0,1,0.0,1.0,0.0,0.0,1.0,0,1300,13,2,1,1,0,1,0,3,2,0,1,1,1,3,0,1,1,3,1.0,,51,1
2,2,12,12,8,8,12,8,8,8,12,12,0.0,3,3,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,1,1300,8,6,0,4,1,0,0,0,0,1,1,0,5,3,0,2,1,6,1.0,,52,1
0,0,8,8,2,2,8,2,2,8,8,8,0.0,2,2,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,1300,18,1,1,1,0,1,1,1,0,0,0,0,2,0,0,3,1,6,1.0,,53,0
0,0,8,8,0,0,8,8,12,12,8,12,0.0,3,3,1,1,0,1,1,0.0,0.0,0.0,1.0,0.0,1,450,8,1,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,3,1.0,,54,0
2,4,4,4,4,4,8,2,8,8,2,12,0.0,2,3,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,1,2200,8,1,0,1,0,1,0,1,2,0,1,0,1,2,0,2,1,5,1.0,,55,0
4,8,2,4,2,8,8,2,2,8,2,8,0.0,0,3,1,0,1,0,1,0.0,1.0,0.0,0.0,0.0,1,2200,3,1,1,1,0,0,0,0,1,0,1,0,1,2,0,1,0,4,1.0,,56,0
4,8,8,12,8,8,12,2,2,8,2,12,0.0,4,1,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,1,2200,13,1,1,1,1,0,0,1,1,0,1,1,1,1,0,2,1,2,1.0,,57,0
2,2,12,14,0,0,8,2,2,12,2,2,0.0,3,2,1,1,0,0,0,0.0,1.0,0.0,0.0,0.0,1,450,13,1,0,1,0,0,0,0,0,0,2,0,1,0,0,2,1,3,1.0,,58,0
2,2,12,12,0,0,14,2,2,12,12,12,0.0,3,5,1,0,0,1,1,0.0,0.0,0.0,1.0,0.0,1,2200,22,1,0,1,1,0,0,0,0,0,1,0,1,3,0,3,1,5,1.0,,59,0
8,12,4,8,0,0,8,2,8,8,8,8,0.0,3,4,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,1,900,13,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2,1,4,1.0,,60,0
8,8,8,12,8,12,14,14,14,14,14,14,0.0,3,2,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0,2200,22,1,1,1,0,0,0,3,3,0,2,2,6,5,0,2,1,6,1.0,,61,0
2,2,8,8,8,4,12,14,2,2,2,2,0.0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,1,1300,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,3.0,,62,0
2,2,12,14,8,2,8,2,8,8,8,12,0.0,5,3,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1,1300,13,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,6,1.0,,63,0
2,2,8,8,4,2,8,8,2,8,8,8,0.0,3,3,1,1,1,0,1,0.0,1.0,0.0,0.0,1.0,1,1300,13,1,1,1,1,0,0,0,1,0,1,0,1,2,0,2,1,4,1.0,,64,0
2,4,2,12,4,8,8,2,2,2,8,8,0.0,3,4,1,1,0,0,1,0.0,0.0,0.0,1.0,0.0,0,2200,13,1,0,1,0,0,0,1,1,0,1,0,1,2,0,1,1,5,1.0,,65,0
8,8,8,12,0,0,8,8,8,2,8,8,0.0,2,2,1,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1,2200,8,1,1,1,1,1,0,0,1,0,1,0,1,1,0,2,1,3,1.0,,66,1
2,8,12,14,14,14,8,8,8,14,14,8,0.0,1,1,1,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0,1300,18,1,1,0,0,0,1,2,1,0,2,0,1,3,0,0,1,4,1.0,,67,0
2,2,8,8,2,4,8,2,2,2,8,8,0.0,3,1,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0,900,13,1,0,1,0,1,0,0,1,0,1,0,1,0,0,3,1,3,1.0,,68,1
0,0,12,14,0,2,8,2,2,2,2,8,0.0,1,3,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1,2200,8,1,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,1.0,,69,1
4,8,8,12,2,4,8,8,12,12,8,12,0.0,2,3,1,1,0,0,1,0.0,1.0,0.0,0.0,0.0,1,1300,18,1,0,1,0,0,0,1,0,0,1,1,1,2,0,1,1,5,1.0,,70,0
0,0,12,14,4,8,12,8,2,2,8,14,0.0,1,1,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,1300,18,1,1,1,1,0,1,2,1,0,0,0,2,4,0,3,2,3,1.0,,71,0
0,2,8,4,8,8,8,8,8,8,8,8,0.0,3,2,1,1,1,0,1,0.0,0.0,1.0,0.0,1.0,1,900,8,6,3,6,1,0,0,0,6,6,6,6,6,5,0,6,4,4,1.0,,72,0
0,0,12,14,2,8,14,2,2,2,14,2,0.0,3,1,1,1,1,1,0,0.0,0.0,1.0,1.0,0.0,0,2200,3,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,2.0,,73,0
2,2,12,12,0,0,12,2,12,12,12,14,0.0,5,5,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0,3500,22,1,0,1,1,0,0,0,1,1,1,0,1,1,0,3,1,6,1.0,,74,0
4,8,8,12,2,2,8,2,8,8,8,12,0.0,5,4,1,0,1,0,1,0.0,0.0,1.0,0.0,0.0,1,2200,13,1,0,0,0,0,0,1,1,0,2,1,1,0,0,4,0,4,1.0,,75,0
8,8,8,12,4,12,8,2,8,8,12,14,0.0,5,5,1,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0,2200,18,1,0,1,0,1,0,1,1,0,3,1,1,2,0,5,1,4,1.0,,76,0
4,8,4,12,0,0,8,2,12,12,8,14,0.0,3,3,1,1,0,1,1,1.0,0.0,0.0,1.0,0.0,1,2200,13,1,0,0,0,0,0,0,1,0,2,0,1,4,0,5,1,4,1.0,,77,0
2,8,8,8,0,0,8,8,8,8,12,14,0.0,5,4,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,2200,18,1,0,0,0,0,0,0,0,0,2,0,1,4,0,4,1,4,1.0,,78,0
4,12,12,14,0,0,8,8,8,8,8,12,4.0,5,3,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,1,3500,22,1,1,0,0,0,0,0,1,0,3,0,1,5,1,3,1,4,1.0,,79,0
2,2,4,8,2,8,8,8,2,2,8,8,0.0,2,1,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,1300,13,1,1,1,1,1,0,1,1,0,1,1,1,1,0,3,0,4,1.0,,80,0
4,4,12,14,0,0,12,8,2,2,8,14,0.0,0,4,1,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0,900,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,2,1.0,,81,1
4,8,8,12,0,0,8,12,2,2,8,14,0.0,0,3,1,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0,900,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,3,1.0,,82,1
4,4,4,4,0,0,8,2,2,2,8,12,0.0,4,3,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,2200,8,1,0,0,0,0,0,0,0,0,2,0,1,0,0,4,1,2,1.0,,83,0
4,12,2,0,8,8,2,12,2,2,8,12,0.0,3,3,1,1,1,0,1,1.0,0.0,0.0,1.0,1.0,0,3500,18,6,4,4,3,3,3,1,2,1,1,5,1,6,3,5,2,6,1.0,,84,1
4,12,4,8,8,2,12,14,8,12,14,2,2.0,3,3,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,2200,18,1,0,1,1,0,0,1,1,0,2,1,1,1,1,2,1,4,1.0,,85,1
8,8,8,8,4,2,2,2,8,8,8,12,0.0,4,3,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,2200,13,0,1,0,0,0,0,1,1,0,2,1,1,4,0,4,1,3,1.0,,86,0
2,2,12,12,0,0,8,14,2,2,2,2,0.0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0,900,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,3.0,,87,1
0,0,12,14,8,14,14,2,2,2,2,2,0.0,0,0,1,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0,900,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3.0,,88,0
2,2,12,14,12,12,14,8,14,14,14,12,0.0,3,3,1,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0,1300,18,1,0,1,1,1,0,0,1,0,1,0,1,3,0,1,1,4,1.0,,89,0
4,4,2,4,0,0,2,8,8,8,8,12,0.0,5,3,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,900,13,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,3,1.0,,90,0
2,2,4,4,0,0,2,2,2,2,8,8,0.0,0,2,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,900,8,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,3,1.0,,91,0
4,8,2,4,0,0,2,8,2,2,2,8,0.0,1,1,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,900,8,1,0,1,0,0,0,0,1,0,1,0,1,0,0,3,0,4,1.0,,92,0
0,0,4,4,0,0,2,8,2,2,8,8,0.0,2,1,1,0,1,0,1,0.0,0.0,1.0,0.0,1.0,1,900,8,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2,1,4,1.0,,93,0
4,8,4,4,0,0,2,8,2,2,2,8,0.0,2,1,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1300,13,1,1,1,1,0,0,0,1,0,2,0,1,1,0,3,1,5,1.0,,94,1
2,4,4,8,12,8,2,8,2,2,8,12,0.0,2,2,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,2200,13,1,1,1,1,1,0,1,1,0,1,2,1,1,0,2,1,3,1.0,,95,0
4,4,8,8,4,4,2,8,2,2,12,12,0.0,3,2,1,0,0,0,1,0.0,0.0,1.0,0.0,0.0,1,3500,18,1,1,1,1,1,1,1,1,0,1,1,1,4,1,3,1,5,1.0,,96,0
2,2,4,8,0,8,8,12,8,2,12,12,0.0,2,1,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,2200,18,1,1,1,1,1,1,1,1,0,1,1,1,3,0,2,1,6,1.0,,97,0
2,2,4,4,0,0,8,8,2,2,12,12,0.0,1,2,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,1300,13,1,0,0,1,0,0,0,1,0,1,0,1,2,0,2,1,4,1.0,,98,1
4,4,2,4,0,0,2,12,8,8,8,12,0.0,0,2,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,1300,8,1,0,1,0,0,1,1,1,0,1,0,1,0,0,3,0,3,1.0,,99,0
2,4,4,4,0,0,2,12,8,8,8,12,0.0,0,2,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,1300,8,1,1,1,1,0,0,0,1,0,1,0,1,1,0,2,0,2,1.0,,100,0
4,4,2,4,0,0,8,12,2,2,8,12,0.0,0,2,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,1300,8,1,0,1,1,0,0,0,1,0,1,0,1,1,0,2,0,4,1.0,,101,0
4,4,4,4,0,0,2,12,2,8,8,12,0.0,0,2,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,900,8,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,3,1.0,,102,0
4,4,2,4,2,0,2,8,2,8,8,12,0.0,0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,450,8,1,0,1,0,0,0,0,1,0,1,0,1,0,0,2,0,3,1.0,,103,0
2,2,2,2,0,0,8,8,2,8,8,8,0.0,0,2,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,900,8,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,5,1.0,,104,0
2,2,8,8,0,0,8,8,2,2,8,12,2.0,1,2,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,1,1300,13,1,0,1,1,0,0,0,1,0,1,0,1,2,1,2,1,5,1.0,,105,1
2,2,4,4,0,0,8,12,8,8,12,12,0.0,1,2,1,0,1,1,1,0.0,0.0,1.0,0.0,1.0,1,1300,8,1,0,1,1,0,0,0,1,0,1,0,1,2,0,2,1,4,1.0,,106,0
4,4,4,8,0,0,2,8,2,8,8,12,0.0,2,2,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1300,8,1,1,1,1,0,0,0,1,0,1,0,1,1,0,2,1,3,1.0,,107,1
2,2,4,4,0,0,8,8,8,2,8,12,0.0,0,2,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,1300,8,1,0,1,1,0,0,0,1,0,1,0,1,2,0,2,0,4,1.0,,108,0
4,4,4,4,0,0,8,12,2,2,12,12,2.0,0,2,1,0,0,1,1,0.0,0.0,1.0,0.0,1.0,1,1300,8,1,0,1,0,0,0,0,1,0,1,0,1,2,1,2,0,4,1.0,,109,0
4,2,4,8,0,0,8,12,2,2,12,12,2.0,1,2,1,0,1,1,1,0.0,0.0,1.0,0.0,1.0,1,1300,13,1,0,1,1,0,0,0,1,0,1,0,1,2,1,2,1,5,1.0,,110,0
4,4,4,8,0,0,2,8,2,2,8,8,2.0,1,2,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,1,1300,8,1,1,1,1,0,0,0,1,0,1,0,1,2,1,3,1,5,1.0,,111,0
4,8,4,8,0,0,2,8,2,8,8,12,2.0,0,2,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,900,8,1,0,1,0,0,0,0,1,0,1,0,1,0,1,3,0,4,1.0,,112,0
4,8,8,8,12,12,8,12,8,8,12,12,2.0,3,2,1,0,0,0,1,0.0,0.0,1.0,0.0,1.0,1,3500,18,1,1,1,1,1,1,1,1,0,2,3,1,4,1,3,1,6,1.0,,113,0
4,8,4,8,0,0,8,12,2,8,8,12,0.0,2,2,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,1300,13,1,0,1,1,1,0,0,1,0,1,0,1,0,1,4,1,6,1.0,,114,0
4,12,8,8,4,12,8,12,2,8,12,12,0.0,3,2,1,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,2200,18,1,0,1,1,1,1,1,1,0,2,1,1,4,0,2,1,5,1.0,,115,0
2,2,8,4,0,0,12,14,2,2,14,8,0.0,1,1,1,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0,1300,13,1,0,1,1,0,0,0,1,0,1,0,1,2,0,1,1,2,1.0,,116,0
12,14,12,14,14,14,8,2,12,12,12,8,0.0,5,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,1300,18,1,0,1,0,1,1,1,0,0,2,2,1,2,0,1,1,5,1.0,,117,0
2,2,12,14,8,8,2,2,2,2,2,12,0.0,5,5,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1,1300,13,1,1,1,1,1,1,1,0,0,2,1,1,3,0,3,0,6,1.0,,118,0
